sample	group
Intensity	1
Intensity 1	1
Intensity 2	1
Intensity 3	1
Intensity 4	1
Intensity 5	1
Intensity 6	1
Intensity 7	1
Intensity 8	1
Intensity 9	1
Intensity 10	2
Intensity 11	2
Intensity 12	2
Intensity 13	2
Intensity 14	2
Intensity 15	2
Intensity 16	2
Intensity 17	2
Intensity 18	2
Intensity 19	2
Intensity 20	3
Intensity 21	3
Intensity 22	3
Intensity 23	3
Intensity 24	3
Intensity 25	3
Intensity 26	3
Intensity 27	3
Intensity 28	3
Intensity 29	3
Intensity 30	4
Intensity 31	4
Intensity 32	4
Intensity 33	4
Intensity 34	4
Intensity 35	4
Intensity 36	4
Intensity 37	4
Intensity 38	4
Intensity 39	4
Intensity 40	5
Intensity 41	5
Intensity 42	5
Intensity 43	5
Intensity 44	5
Intensity 45	5
Intensity 46	5
Intensity 47	5
Intensity 48	5
Intensity 49	5
Intensity 50	6
Intensity 51	6
Intensity 52	6
Intensity 53	6
Intensity 54	6
Intensity 55	6
Intensity 56	6
Intensity 57	6
Intensity 58	6
Intensity 59	6
Intensity 60	7
Intensity 61	7
Intensity 62	7
Intensity 63	7
Intensity 64	7
Intensity 65	7
Intensity 66	7
Intensity 67	7
Intensity 68	7
Intensity 69	7
Intensity 70	8
Intensity 71	8
Intensity 72	8
Intensity 73	8
Intensity 74	8
Intensity 75	8
Intensity 76	8
Intensity 77	8
Intensity 78	8
Intensity 79	8
Intensity 80	9
Intensity 81	9
Intensity 82	9
Intensity 83	9
Intensity 84	9
Intensity 85	9
Intensity 86	9
Intensity 87	9
Intensity 88	9
Intensity 89	9
Intensity 90	10
Intensity 91	10
Intensity 92	10
Intensity 93	10
Intensity 94	10
Intensity 95	10
Intensity 96	10
